hs_code,kategori_barang,deskripsi_produk,tujuan_negara,kota_asal,provinsi_asal,kuantitas,volume_m3,berat_kg,hpp,biaya_pengemasan,bank_charge,trucking,forwarder,dokumen_ekspor,thc,bea_keluar,komisi_broker,freight,asuransi,pergudangan,operasional_lainnya,bunga_pajak,total_biaya
4802.56,Kertas,Kertas yang digunakan untuk menulis atau mencetak,Laos,Bontang,Kalimantan Timur,601,3.4,9.5,1521000.0,490000.0,213000.0,5690000.0,9450000.0,294000.0,1721000.0,173000.0,207000.0,40000.0,174000.0,562000.0,630000.0,295000.0,21460000.0
8421.39,Mesin pembersih udara,Mesin penyaring udara untuk keperluan domestik,Kamboja,Samarinda,Kalimantan Timur,302,0.6,14.5,742000.0,310000.0,92000.0,3820000.0,3100000.0,453000.0,706000.0,105000.0,47000.0,54000.0,30000.0,973000.0,1936000.0,126000.0,12494000.0
0207.14,Daging ayam,"Daging ayam beku, potongan",Vietnam,Denpasar,Bali,269,9.5,6.1,2883000.0,1120000.0,150000.0,1130000.0,2850000.0,480000.0,1184000.0,268000.0,397000.0,839000.0,214000.0,2978000.0,1224000.0,444000.0,16161000.0
2201.10,Air mineral,Air mineral dan air soda,Filipina,Pematangsiantar,Sumatera Utara,796,2.8,41.4,24555000.0,7490000.0,2824000.0,29450000.0,51490000.0,340000.0,361000.0,3164000.0,589000.0,56000.0,2187000.0,1964000.0,341000.0,3224000.0,128035000.0
6307.90,Masker medis,Masker pelindung untuk medis,Myanmar,Medan,Sumatera Utara,173,9.1,47.9,12328000.0,5230000.0,1348000.0,2080000.0,7860000.0,786000.0,1404000.0,1971000.0,390000.0,794000.0,1839000.0,2715000.0,1211000.0,1436000.0,41392000.0
5901.10,Kanvas,Kanvas yang dilapisi untuk seni lukis,Singapura,Jakarta,DKI Jakarta,803,0.8,18.5,18667000.0,7000000.0,1344000.0,6700000.0,7320000.0,201000.0,1163000.0,1099000.0,3093000.0,71000.0,1292000.0,1075000.0,1962000.0,2060000.0,53047000.0
1201.90,Kacang kedelai,Kacang kedelai selain untuk ditanam,Laos,Bandar Lampung,Lampung,221,3.1,20.6,6123000.0,2820000.0,823000.0,1720000.0,8030000.0,626000.0,1588000.0,1054000.0,999000.0,231000.0,876000.0,927000.0,731000.0,619000.0,27167000.0
2209.00,Cuka,Cuka dari semua jenis dan penggantinya yang berasal dari asam asetat,Singapura,Metro,Lampung,726,1.6,44.4,45988000.0,21400000.0,3972000.0,27610000.0,60110000.0,501000.0,333000.0,6175000.0,2831000.0,82000.0,6140000.0,1849000.0,1631000.0,7593000.0,186215000.0
2401.20,Tembakau,Tembakau yang tidak diproses,Thailand,Yogyakarta,DI Yogyakarta,718,5.5,25.9,12259000.0,5540000.0,1250000.0,15340000.0,9080000.0,610000.0,1433000.0,2302000.0,422000.0,445000.0,1567000.0,1649000.0,958000.0,1503000.0,54358000.0
8516.10,Pemanas air listrik,Pemanas air untuk rumah tangga,Indonesia,Jember,Jawa Timur,209,4.5,16.5,2928000.0,1360000.0,209000.0,3040000.0,5020000.0,447000.0,1297000.0,311000.0,338000.0,427000.0,130000.0,1600000.0,1977000.0,367000.0,19451000.0
4802.56,Kertas,Kertas yang digunakan untuk menulis atau mencetak,Thailand,Tangerang,Banten,105,5.5,19.8,3409000.0,1130000.0,264000.0,1570000.0,3300000.0,239000.0,1615000.0,663000.0,582000.0,389000.0,372000.0,702000.0,1599000.0,569000.0,16403000.0
9401.30,Kursi kantor,Kursi untuk keperluan kantor,Malaysia,Mataram,Nusa Tenggara Barat,761,10.0,37.0,33901000.0,14770000.0,1698000.0,12310000.0,13970000.0,689000.0,1620000.0,1718000.0,2959000.0,476000.0,2872000.0,3000000.0,1924000.0,5277000.0,97184000.0
8421.39,Mesin pembersih udara,Mesin penyaring udara untuk keperluan domestik,Myanmar,Samarinda,Kalimantan Timur,123,2.6,15.8,2069000.0,890000.0,146000.0,710000.0,940000.0,878000.0,1463000.0,356000.0,269000.0,139000.0,404000.0,541000.0,926000.0,295000.0,10026000.0
8421.39,Mesin pembersih udara,Mesin penyaring udara untuk keperluan domestik,Brunei,Denpasar,Bali,817,4.3,24.5,18712000.0,7960000.0,2240000.0,4870000.0,21210000.0,751000.0,613000.0,3142000.0,2111000.0,213000.0,2642000.0,1711000.0,1273000.0,2790000.0,70238000.0
0304.87,Ikan tuna,Ikan tuna (Thunnus spp.),Indonesia,Mataram,Nusa Tenggara Barat,361,7.3,21.6,4373000.0,1400000.0,573000.0,2720000.0,13310000.0,361000.0,321000.0,857000.0,185000.0,147000.0,847000.0,624000.0,420000.0,778000.0,26916000.0
8443.32,Printer,Mesin cetak dengan fungsi tambahan seperti fotokopi,Myanmar,Serang,Banten,688,5.4,23.4,28569000.0,10220000.0,2638000.0,5440000.0,3400000.0,381000.0,1322000.0,5073000.0,5469000.0,474000.0,1459000.0,1924000.0,1595000.0,5129000.0,73093000.0
8509.40,Blender,Blender atau pencampur makanan,Vietnam,Yogyakarta,DI Yogyakarta,876,6.6,15.1,12924000.0,3960000.0,1112000.0,1500000.0,18370000.0,257000.0,1780000.0,2320000.0,2403000.0,515000.0,2534000.0,1281000.0,820000.0,1333000.0,51109000.0
8215.20,Alat makan perak,Alat makan atau peralatan dapur dari perak,Filipina,Lubuklinggau,Sumatera Selatan,612,7.6,43.2,48515000.0,21970000.0,5865000.0,15290000.0,14500000.0,867000.0,1047000.0,3357000.0,7893000.0,222000.0,7136000.0,2638000.0,200000.0,6279000.0,135779000.0
9617.00,Termos,Termos dan botol vacuum,Filipina,Parepare,Sulawesi Selatan,114,3.8,49.5,7861000.0,2590000.0,897000.0,580000.0,4870000.0,462000.0,1156000.0,1042000.0,659000.0,243000.0,1292000.0,2400000.0,1968000.0,1525000.0,27545000.0
8516.72,Mesin pemanggang roti,Mesin pemanggang roti dan peralatan pemanas lainnya,Laos,Dumai,Riau,260,6.0,10.1,291000.0,110000.0,21000.0,1080000.0,3500000.0,258000.0,1443000.0,44000.0,30000.0,130000.0,12000.0,2609000.0,233000.0,55000.0,9816000.0
3305.10,Shampo,Preparasi untuk pencucian rambut (shampo),Indonesia,Parepare,Sulawesi Selatan,688,5.0,33.4,20125000.0,9010000.0,1948000.0,9600000.0,42200000.0,289000.0,1931000.0,3863000.0,614000.0,425000.0,3176000.0,1172000.0,1014000.0,3822000.0,99189000.0
4802.56,Kertas,Kertas yang digunakan untuk menulis atau mencetak,Filipina,Yogyakarta,DI Yogyakarta,836,3.3,4.1,4985000.0,1880000.0,554000.0,2730000.0,5710000.0,956000.0,1451000.0,949000.0,323000.0,237000.0,915000.0,2288000.0,1565000.0,857000.0,25400000.0
9617.00,Termos,Termos dan botol vacuum,Vietnam,Yogyakarta,DI Yogyakarta,997,2.8,34.3,34089000.0,12950000.0,1976000.0,16070000.0,65230000.0,140000.0,1151000.0,4364000.0,1008000.0,156000.0,3227000.0,833000.0,344000.0,5837000.0,147375000.0
9608.10,Alat tulis bolpoin,Bolpoin dan alat tulis lainnya,Kamboja,Balikpapan,Kalimantan Timur,194,2.6,32.8,1769000.0,710000.0,143000.0,5600000.0,1940000.0,497000.0,1360000.0,305000.0,97000.0,63000.0,282000.0,580000.0,1316000.0,349000.0,15011000.0
8421.39,Mesin pembersih udara,Mesin penyaring udara untuk keperluan domestik,Kamboja,Binjai,Sumatera Utara,734,6.8,8.6,5974000.0,2670000.0,424000.0,980000.0,9140000.0,722000.0,306000.0,1045000.0,181000.0,118000.0,573000.0,568000.0,551000.0,1024000.0,24276000.0
2401.20,Tembakau,Tembakau yang tidak diproses,Malaysia,Blitar,Jawa Timur,109,7.3,35.2,6143000.0,2950000.0,889000.0,3500000.0,4500000.0,232000.0,553000.0,884000.0,978000.0,428000.0,585000.0,545000.0,660000.0,1135000.0,23982000.0
